Thu Nov 16 16:50:30 2023
data_dict: {'mean': array([83.93362 , 92.55297 , 91.47328 , 74.63291 , 28.445953],
      dtype=float32), 'std': array([47.080837, 50.655468, 56.94334 , 49.649784, 10.984235],
      dtype=float32), 'classWeights': array([2.727278 , 2.19231  , 4.0622845], dtype=float32), 'img_shape': (512, 512, 5)}
epoch: 4 iter: 24 train_iter_loss: 0.209811 learn_rate: 0.000333 
epoch: 4 iter: 25 train_iter_loss: 0.177961 learn_rate: 0.000333 
epoch: 4 iter: 26 train_iter_loss: 0.199508 learn_rate: 0.000333 
epoch: 4 iter: 27 train_iter_loss: 0.179366 learn_rate: 0.000333 
epoch: 4 iter: 28 train_iter_loss: 0.191387 learn_rate: 0.000333 
epoch: 4 iter: 29 train_iter_loss: 0.200322 learn_rate: 0.000333 
epoch: 4 iter: 30 train_iter_loss: 0.178607 learn_rate: 0.000333 
epoch: 4 iter: 31 train_iter_loss: 0.175286 learn_rate: 0.000333 
epoch: 4 iter: 32 train_iter_loss: 0.198880 learn_rate: 0.000333 
epoch: 4 iter: 33 train_iter_loss: 0.184574 learn_rate: 0.000333 
epoch: 4 iter: 34 train_iter_loss: 0.203036 learn_rate: 0.000333 
epoch: 4 iter: 35 train_iter_loss: 0.193964 learn_rate: 0.000333 
epoch: 4 iter: 36 train_iter_loss: 0.191633 learn_rate: 0.000333 
epoch: 4 iter: 37 train_iter_loss: 0.189735 learn_rate: 0.000333 
epoch: 4 iter: 38 train_iter_loss: 0.189642 learn_rate: 0.000333 
epoch: 4 iter: 39 train_iter_loss: 0.189903 learn_rate: 0.000333 
epoch: 4 iter: 40 train_iter_loss: 0.199477 learn_rate: 0.000333 
epoch: 4 iter: 41 train_iter_loss: 0.179132 learn_rate: 0.000333 
epoch: 4 iter: 42 train_iter_loss: 0.182691 learn_rate: 0.000333 
epoch: 4 iter: 43 train_iter_loss: 0.163366 learn_rate: 0.000333 
epoch: 4 iter: 44 train_iter_loss: 0.182450 learn_rate: 0.000333 
epoch: 4 iter: 45 train_iter_loss: 0.188241 learn_rate: 0.000333 
epoch: 4 iter: 46 train_iter_loss: 0.196201 learn_rate: 0.000333 
epoch: 4 iter: 47 train_iter_loss: 0.173163 learn_rate: 0.000333 
epoch: 4 iter: 48 train_iter_loss: 0.195750 learn_rate: 0.000333 
epoch: 4 iter: 49 train_iter_loss: 0.174810 learn_rate: 0.000333 
epoch: 4 iter: 50 train_iter_loss: 0.192262 learn_rate: 0.000333 
epoch: 4 iter: 51 train_iter_loss: 0.186461 learn_rate: 0.000333 
epoch: 4 iter: 52 train_iter_loss: 0.178953 learn_rate: 0.000333 
epoch: 4 iter: 53 train_iter_loss: 0.179757 learn_rate: 0.000333 
epoch: 4 iter: 54 train_iter_loss: 0.183535 learn_rate: 0.000333 
epoch: 4 iter: 55 train_iter_loss: 0.207083 learn_rate: 0.000333 
epoch: 4 iter: 56 train_iter_loss: 0.184600 learn_rate: 0.000333 
epoch: 4 iter: 57 train_iter_loss: 0.195494 learn_rate: 0.000333 
epoch: 4 iter: 58 train_iter_loss: 0.202899 learn_rate: 0.000333 
epoch: 4 iter: 59 train_iter_loss: 0.187509 learn_rate: 0.000333 
epoch: 4 iter: 60 train_iter_loss: 0.207296 learn_rate: 0.000333 
epoch: 4 iter: 61 train_iter_loss: 0.174780 learn_rate: 0.000333 
epoch: 4 iter: 62 train_iter_loss: 0.164082 learn_rate: 0.000333 
epoch: 4 iter: 63 train_iter_loss: 0.179842 learn_rate: 0.000333 
epoch: 4 iter: 64 train_iter_loss: 0.194921 learn_rate: 0.000333 
epoch: 4 iter: 65 train_iter_loss: 0.195718 learn_rate: 0.000333 
epoch: 4 iter: 66 train_iter_loss: 0.196846 learn_rate: 0.000333 
epoch: 4 iter: 67 train_iter_loss: 0.187426 learn_rate: 0.000333 
epoch: 4 iter: 68 train_iter_loss: 0.194975 learn_rate: 0.000333 
epoch: 4 iter: 69 train_iter_loss: 0.173186 learn_rate: 0.000333 
epoch: 4 iter: 70 train_iter_loss: 0.172430 learn_rate: 0.000333 
epoch: 4 iter: 71 train_iter_loss: 0.178145 learn_rate: 0.000333 
epoch: 4 iter: 72 train_iter_loss: 0.175099 learn_rate: 0.000333 
